product_code,product_name,class_code,class_name,our_price,total_amount
11101,艾丽 奥利司他胶囊 21粒装,01,中西药品,15900,7512
414150,益气养血口服液(玉仁),011401,益气养阴,2500,7480
168607,沙格列汀片(安立泽) ,010702,西药降糖,7850,7475
221423,硫酸氢氯吡格雷片(帅信),010604,冠心病,7500,7414
151894,丹参酮胶囊(希力),011602,抗菌消炎,3900,7409
12054,草木犀流浸液片(消脱止-M),010202,痔疮用药,5500,7386
10993,扶正化瘀胶囊(双海),011003,肝炎用药,6800,7377
6562,盐酸帕罗西汀片(赛乐特),010508,抑郁症类,12500,7376
569594,非布司他片(瑞扬),010408,痛风,25000,7371
4440,猴头菌提取物颗粒(无糖),010213,胃及十二指肠溃疡,3380,7327
158203,阿托伐他汀钙片(阿乐),010602,高血脂类,5500,7306
1548,肩周炎理疗贴,050607,理疗产品,1200,7294
7966,马来酸噻吗洛尔滴眼液(五景),011515,眼部病变,2690,7246
58864,苯磺酸左旋氨氯地平片(弘明远),010601,高血压类,2800,7202
18878,美沙拉秦肠溶片(莎尔福),010210,胃肠道感染,32000,7170
755414,雌二醇片/雌二醇地屈孕酮片复合包装(芬吗通)  2/10mg ,010808,更年期综合症,15000,7169
73440,恩替卡韦分散片(雷易得),011003,肝炎用药,14000,7065
13700,谷胱甘肽片(阿拓莫兰),011004,肝硬化类,8250,7042
856699,赖斯康B族维生素咀嚼片(甜橙味),180101,保健食品,4900,7003
202465,金水宝金水宝胶囊 72粒装,010802,月经不调,6800,6947
469427,苯磺酸氨氯地平片(俞氏),010602,高血脂类,1300,6943
155883,前列舒通胶囊(步长),011101,前列腺类,5400,6918
221034,万托林(吸入用硫酸沙丁胺醇溶液),011802,哮喘用药,3900,6885
465035,阿莫西林胶囊(石药),011701,青霉素类,700,6820
3609,阿奇霉素干混悬剂(希舒美),011704,大环内酯类,5400,6791
857159,简亭电解质维生素泡腾片(蓝莓味),150205,补充维生素,9900,6788
229021,恩替卡韦分散片(贝双定),011002,乙肝用药,13000,6782
31113,左氧氟沙星片(可乐必妥),011602,抗菌消炎,6000,6731
155530,左卡尼汀口服溶液(东维力)(国产),011102,补肾壮阳,6800,6723
195506,感冒灵颗粒(白云山),010101,感冒发热,1600,6588
857161,简亭电解质维生素泡腾片(西柚味),150105,其他,9900,6516
68401,奥卡西平片(仁澳),010510,面瘫癫痫,9500,6506
531,酒石酸美托洛尔片(倍他乐克),010601,高血压类,1300,6464
857160,简亭电解质维生素泡腾片(针叶樱桃味),150205,补充维生素,9900,6458
7598,斧标驱风油(斧标),010501,晕车晕船,500,6448
11889,七叶洋地黄双苷滴眼液(施图伦),011515,眼部病变,4446,6435
73423,促肝细胞生长素肠溶胶囊(福锦),011003,肝炎用药,4200,6401
150115,溴吡斯的明片,010215,其他用药,21000,6384
1856,复方酮康唑软膏(新亚康王),010314,手足癣病,500,6381
227286,马来酸恩替卡韦片(天丁),011002,乙肝用药,13500,6212
359258,盐酸帕罗西汀片(乐友),010508,抑郁症类,8875,6204
190570,尿素软膏(马应龙),010327,其他用药,350,6203
4450,同仁堂 五子衍宗丸(水蜜丸)  60g,011102,补肾壮阳,2500,6133
68568,吡贝地尔缓释片(泰舒达),010503,帕金森类,9280,6100
192137,他达拉非片(希爱力) ,011103,性功能障碍,90800,6091
5514,前列舒乐胶囊(银涛),011101,前列腺类,2950,6089
58816,苯磺酸氨氯地平片(亚斯克平),010601,高血压类,2500,6062
220603,硫酸特布他林雾化液(博利康尼),011809,气管炎,16800,6045
12005,奥卡西平片(曲莱),010510,面瘫癫痫,22885,5992
15092,哈西奈德乳膏(双燕牌),010317,皮炎湿疹,800,5966
18956,美沙拉秦肠溶片(安洁莎),010203,肠道菌群紊乱,5500,5927
73906,星鲨 维生素D滴剂 补钙维生素D 佝偻病,011302,维生素类,3600,5880
293303,复方谷氨酰胺肠溶胶囊(谷参),010210,胃肠道感染,3500,5838
11073,苯溴马隆片(立加利仙),010403,风湿骨痛内服,3350,5831
1477,敖东安神补脑液益气养血安眠强脑失头晕眠助眠药中药口服液,011410,安神类药,2900,5830
3039,厄贝沙坦片(吉加),010601,高血压类,1600,5825
188133,复方利多卡因乳膏(紫光),010327,其他用药,8000,5810
829260,氯霉素滴眼液(秀瞳),011515,眼部病变,800,5795
417530,辛伐他汀片(彼迪),010614,脑血管病,600,5773
14286,盐酸坦索罗辛缓释胶囊(哈乐),011101,前列腺类,7106,5766
851,肾石通颗粒(九连山),011203,尿路结石,2300,5735
11994,复方吡拉西坦脑蛋白水解物片(康恼灵),010505,老年痴呆,4800,5720
68093,复方苯巴比妥溴化钠片(精卫鸟),010510,面瘫癫痫,8000,5694
218987,克拉霉素片(京新),011605,其他用药,700,5658
338984,复方氟米松软膏(奥深),010303,扁平苔癣,3000,5646
201894,替米沙坦片(毓乐宁),010601,高血压类,1500,5586
241541,转移因子胶囊(金花),010327,其他用药,2000,5570
772422,乳酸菌阴道胶囊(延华),010806,妇科炎症,4500,5558
764808,前列回春胶囊(双星),011101,前列腺类,14400,5558
776987,摩罗丹(浓缩丸)(华山牌),010204,胃炎用药,4500,5516
10629,炔雌醇环丙孕酮片(达英-35),010809,卵巢疾病,7450,5515
9406,丹七片(同仁堂),010807,活血类,1600,5481
191801,盐酸帕罗西汀片(舒坦罗),010508,抑郁症类,8500,5472
1460,水飞蓟素胶囊(利加隆),011007,脂肪肝类,4100,5468
12025,左氧氟沙星滴眼液(可乐必妥),011515,眼部病变,3800,5457
610,板蓝根颗粒(白云山),010101,感冒发热,1680,5444
272910,盐酸文拉法辛缓释片(博乐欣),010508,抑郁症类,13500,5385
1693,胃复春片(胡庆余堂),010214,消化道肿瘤,2700,5373
12036,奥美沙坦酯片(傲坦),010601,高血压类,5400,5371
170191,胃铋镁颗粒(弘美制药),010211,胃痛胀气,7200,5335
35490,血塞通片(特安呐),010603,中风偏瘫,1280,5327
25707,参苓白术丸(孔孟),010206,消化不良,1200,5261
58855,苯磺酸氨氯地平片(彼洛平),010601,高血压类,1400,5223
206815,可乐定透皮贴片(小贴士),010511,其他用药,21800,5217
47833,骨化三醇软胶囊(盖三淳),010403,风湿骨痛内服,4400,5214
6487,盐酸舍曲林片(彼迈乐),010508,抑郁症类,5000,5209
3393,艾司奥美拉唑镁肠溶片(曾用名:埃索美拉唑镁肠溶片),010213,胃及十二指肠溃疡,9500,5203
11149,盐酸阿米替林片(洞庭),010508,抑郁症类,3000,5192
46967,独活寄生丸(立效),010403,风湿骨痛内服,900,5184
30074,消银颗粒(无糖型),010318,银屑病,3900,5175
2516,调经促孕丸(同仁堂),010805,保胎促孕,1800,5168
59529,厄贝沙坦氢氯噻嗪片(安博诺),010601,高血压类,4900,5144
496095,哈西奈德溶液(三益),010303,扁平苔癣,600,5117
3661,克龄蒙 戊酸雌二醇片/雌二醇环丙孕酮片复合包装 21片,010808,更年期综合症,11800,5109
521508,约斯夫医用酒精消毒棉片,05,医疗器械,2000,5107
12006,奥卡西平片(曲莱),010510,面瘫癫痫,16400,5102
69102,巴氯芬片(枢芬),010511,其他用药,2200,5078
28632,积雪苷霜软膏(芙原),010301,烧烫创伤,4000,5070
213438,止痛消炎软膏(恒健),010107,其他用药,1550,5067
68260,加巴喷丁胶囊(迭力),010510,面瘫癫痫,6500,5060
67244,佐米曲普坦片(卡曲),010512,偏头疼类,4000,5034
183225,辛伐他汀片(鑫齐),010602,高血脂类,700,5009
58970,马来酸左旋氨氯地平片(玄宁),010601,高血压类,4200,5005
3411,托吡酯片(妥泰),010510,面瘫癫痫,10800,4996
155918,熊去氧胆酸胶囊(优思弗),011004,肝硬化类,28800,4993
43685,哈西奈德溶液(玉虎牌),010317,皮炎湿疹,1000,4986
2477,非那雄胺片(保列治),011101,前列腺类,6900,4985
830127,龙牙肝泰胶囊,011003,肝炎用药,14000,4982
59071,厄贝沙坦氢氯噻嗪片(依伦平),010601,高血压类,3000,4976
31708,盐酸伐昔洛韦片(丽珠威),010315,带状疱疹,4710,4962
856835,富马酸丙酚替诺福韦片(韦立得)(TAF),011003,肝炎用药,118000,4940
848486,舒肝解郁胶囊,010508,抑郁症类,6400,4929
2792,硫酸特布他林片(博利康尼),011802,哮喘用药,7200,4901
301340,枸橼酸西地那非片(金戈),011103,性功能障碍,34500,4897
2635,阿昔洛韦片(海王),010315,带状疱疹,550,4874
8033,腰痛理疗贴(心意),05,医疗器械,990,4849
220608,利格列汀片(欧唐宁),010703,营养调节,8700,4847
157963,医用棉签(恩惠),050608,创伤用品,200,4832
35816,艾地苯醌片(金博瑞),010610,动脉硬化,6700,4824
50772,苁蓉益肾颗粒(兰太),011102,补肾壮阳,6000,4820
7720,富马酸比索洛尔片(康忻),010604,冠心病,3900,4813
53695,转移因子口服溶液(金花),011406,体虚乏力,3500,4805
326808,头孢拉定胶囊(康良),011702,头孢类,700,4805
800775,蒲地蓝消炎片(双龙)(处方药),010101,感冒发热,1150,4804
34713,硫酸氢氯吡格雷片(泰嘉),010606,心肌病,9141,4801
159155,盐酸帕罗西汀片(乐友),010508,抑郁症类,8000,4801
25109,醋酸氟轻松乳膏(双燕牌),010317,皮炎湿疹,350,4765
59041,布美他尼片(利了),010601,高血压类,2180,4764
6884,采森牌VD钙片(中老年型),18,保健食品,4800,4760
227912,富马酸喹硫平片(启维),010504,精神分裂,5600,4716
395380,草酸艾司西酞普兰片(百适可),010508,抑郁症类,6900,4707
3397,前列安栓(丽珠),011101,前列腺类,6500,4700
632333,康恩贝 达尔斯康牌B族维生素片 0.7g/片*100片,090401,健康调理,3900,4675
3655,鼻渊通窍颗粒(鲁南),011502,鼻炎,2500,4648
12039,磷酸西格列汀片(捷诺维),010702,西药降糖,13969,4646
586144,头孢克肟分散片(莎普爱思),011707,其他用药,1500,4615
11100,通脉颗粒(齐岷州),010604,冠心病,1290,4607
207422,伊木萨克片(维吾尔),011102,补肾壮阳,15800,4601
168256,葡萄糖酸钙口服溶液(川奇),011301,补钙补锌,800,4586
36977,辅酶Q10片(能气朗),011003,肝炎用药,3600,4586
220937,苯甲酸阿格列汀片(尼欣那),010702,西药降糖,18000,4579
5349,糖脉康颗粒(升和),010701,中药降糖,2100,4578
18877,美沙拉秦栓(天宏),010210,胃肠道感染,7600,4571
3427,人参归脾丸(同仁堂),011410,安神类药,1200,4566
5184,肾炎康复片(太阳),011202,肾炎,2750,4542
181871,草酸艾司西酞普兰片(百适可),010508,抑郁症类,7200,4532
824642,老北京足贴 ,19,日化用品,2900,4527
12037,卡泊三醇倍他米松软膏(得肤宝),010318,银屑病,21050,4527
11096,迪银 复方氨肽素片,010318,银屑病,5375,4527
266,复方醋酸氟轻松酊(三花大唐),010317,皮炎湿疹,5200,4521
27343,枸橼酸氯米芬片(法地兰),010805,保胎促孕,3500,4512
12410,双环醇片(百赛诺),011003,肝炎用药,8620,4512
261326,甲磺酸酚妥拉明片(至威),011103,性功能障碍,1900,4485
164238,非那雄胺片(启悦),011105,其他用药,10100,4480
80128,硒酵母片(西维尔),010612,其他用药,6500,4434
169288,地牡宁神口服液(童奥特),011014,其他用药,8800,4427
157397,洛索洛芬钠片(乐松),010403,风湿骨痛内服,3000,4422
586133,开塞露(含甘油)(恒健),010209,便秘,2100,4418
26811,和颜 坤泰胶囊 0.5g*24s,010808,更年期综合症,2170,4414
5982,同仁乌鸡白凤丸(同仁堂)(水蜜丸),010802,月经不调,1500,4394
58832,盐酸阿罗洛尔片(阿尔马尔),010601,高血压类,4500,4393
71029,复方甲氧那明胶囊(诺尔彤),011802,哮喘用药,4600,4392
538679,厄贝沙坦片(吉加),010601,高血压类,2300,4354
826110,【补钙大礼包】健力多R氨糖软骨素钙片中老年补钙补软骨护关节维骨保健品,180101,保健食品,18800,4347
37847,复方氨肽素片(丹生制银灵),010318,银屑病,4800,4347
12424,虎驹乙肝胶囊(仁寿药业),011002,乙肝用药,4000,4337
829465,欧姆龙AS1试纸25片*2盒+50支针头+50片酒精消毒棉  ,050102,血糖试纸,14872,4318
849455,海氏海诺 无菌敷贴,050610,日常护理,990,4313
11278,非那雄胺片(保法止),010304,生发乌发,23900,4310
35511,蚓激酶肠溶胶囊(雪通),010603,中风偏瘫,3800,4283
12026,阿达帕林凝胶(达芙文),010319,痤疮,16800,4275
159179,阿立哌唑口崩片(博思清),010504,精神分裂,6000,4271
482016,缬沙坦分散片(缬欣),010601,高血压类,3200,4269
1444,养血生发胶囊(敬修堂),010304,生发乌发,900,4249
468858,【买1送1】汤臣倍健蛋白粉营养粉增强免疫力正品保健品,180101,保健食品,33100,4239
853655,亲子圣水 婴儿滋养甘油 润肤保湿滋养防燥,170101,化妆品,1800,4237
74121,维生素C片(维福佳),011302,维生素类,300,4217
28623,积雪苷片(SHYNDEC),010301,烧烫创伤,3500,4215
180754,百令胶囊(百令),011411,补肾类药,6850,4215
439028,九芝堂 六味地黄丸(浓缩丸) 360s,011102,补肾壮阳,3980,4215
12063,来氟米特片(爱若华),010403,风湿骨痛内服,10625,4209
257339,阿德福韦酯片(汇德立康),011002,乙肝用药,5700,4162
17273,酪酸梭菌肠球菌三联活菌片(适怡),010205,腹痛腹泻,6900,4147
451269,苯磺酸氨氯地平片(京新),010601,高血压类,3000,4141
206879,异维A酸软胶囊(特维丝),010319,痤疮,5500,4141
165099,托拉塞米片(特苏敏),010611,心力衰竭,2100,4119
4697,盐酸小檗碱片(东北),010205,腹痛腹泻,1600,4118
5856,盐酸二甲双胍片(天安堂),010702,西药降糖,680,4112
12411,五酯软胶囊(力诺复),011003,肝炎用药,3000,4109
11985,乳果糖口服溶液(杜密克),011014,其他用药,6800,4101
59105,天麻钩藤颗粒(无糖型),010601,高血压类,3500,4094
594084,沙利度胺片(反映亭),010322,麻风病,6300,4091
170744,盐酸文拉法辛缓释胶囊(怡诺思),010508,抑郁症类,14500,4085
761,磷酸铝凝胶(洁维乐),010213,胃及十二指肠溃疡,2600,4065
75524,消糖灵胶囊(三叶牌),010701,中药降糖,3200,4061
158231,氨甲环酸片(妥塞敏),010325,祛斑类,30300,4054
3003,金锁固精丸(九芝堂)(浓缩丸),011102,补肾壮阳,1800,4053
10580,骨化三醇胶丸(罗盖全),010406,骨质疏松,7125,4044
773732,复方丙酸氯倍他索软膏(金纽尔),010318,银屑病,7500,4044
227909,厄贝沙坦氢氯噻嗪胶囊(安利博),010601,高血压类,4200,4024
834,醋酸氟轻松乳膏(太平洋),010317,皮炎湿疹,500,4015
849462,海氏海诺 无菌敷贴,050610,日常护理,990,4013
854374,赖斯康牌钙咀嚼片(成人),150402,休闲零食,5800,4012
11893,阿立哌唑片(安律凡),010504,精神分裂,12000,4001
7670,阿维A胶囊(方希),010318,银屑病,6500,3999
11817,复方肝素钠尿囊素凝胶(康瑞保),010301,烧烫创伤,6680,3995
3087,银杏叶片(薄膜衣片),010610,动脉硬化,600,3989
29295,驱白巴布期片(银朵兰),010321,白癜风,7000,3979
1160,五酯胶囊(禾正),011011,降转氨酶,2850,3978
539854,非布司他片(优立通),010408,痛风,17500,3975
11995,海昆肾喜胶囊(长龙),011206,尿毒症,8500,3959
6031,夫西地酸乳膏(奥络),010324,皮肤感染,1800,3954
10572,卤米松乳膏(澳能),010317,皮炎湿疹,3350,3951
185602,甲磺酸酚妥拉明胶囊(博总),011103,性功能障碍,6400,3947
72927,复方甘草酸苷胶囊(凯因甘乐),011003,肝炎用药,5000,3936
4567,小金丸(九芝堂),010803,乳腺疾病,1500,3935
171245,二甲双胍格列本脲片(Ⅱ)(联将),010702,西药降糖,1450,3927
11074,盐酸左旋咪唑片,010208,驱虫类药,380,3922
31466,盐酸特比萘芬片(邦可欣),011602,抗菌消炎,4390,3904
3414,利培酮片(维思通),010504,精神分裂,6800,3871
42458,胰酶肠溶胶囊(得每通),010206,消化不良,4864,3868
6050,盐酸左氧氟沙星胶囊(左克),011703,喹诺酮类,1500,3861
829174,西格列汀二甲双胍片(II)(捷诺达),010702,西药降糖,23000,3859
72427,吸入用异丙托溴铵溶液(爱全乐),011802,哮喘用药,6900,3850
68096,拉莫三嗪片(安闲),010510,面瘫癫痫,5600,3850
158717,太极 五子衍宗丸(浓缩丸) 120s,011102,补肾壮阳,6800,3849
8016,孟鲁司特钠咀嚼片(顺尔宁),011802,哮喘用药,4363,3825
1551,健胃消食片(成人)(含糖),010206,消化不良,1000,3825
12072,白芍总苷胶囊(帕夫林),010413,类风湿性关节炎,8225,3814
70534,乙酰半胱氨酸泡腾片(富露施),011802,哮喘用药,2880,3812
7676,胶体果胶铋胶囊(彼迪),010204,胃炎用药,650,3807
520512,金戈必挺巩固装,011103,性功能障碍,99800,3806
154453,生精胶囊(廖元和堂),011102,补肾壮阳,7500,3804
638794,吸入用布地奈德混悬液(普米克令舒),011802,哮喘用药,35600,3785
9826,人参健脾丸(同仁堂),010205,腹痛腹泻,1500,3778
849143,甲巯咪唑片(赛治),010511,其他用药,4500,3775
343508,【买1送2共180片】健力多R氨糖软骨素钙片中老年补钙补软骨正品保健品,180101,保健食品,23800,3774
2476,阿卡波糖片(拜唐苹),010702,西药降糖,9000,3774
30039,卡泊三醇软膏(澳夫清),010318,银屑病,5500,3767
6023,丙酸氯倍他索乳膏(亚),010314,手足癣病,500,3757
831151,重组人干扰素α2b凝胶(尤靖安),010806,妇科炎症,8500,3742
856477,痫愈胶囊(致康),010510,面瘫癫痫,7200,3732
6546,替普瑞酮胶囊(施维舒),010204,胃炎用药,3500,3727
8542,复方酮康唑软膏(新亚康王),010314,手足癣病,650,3723
167838,奥氮平片(欧兰宁),010504,精神分裂,15750,3716
27163,雌二醇片/雌二醇地屈孕酮片复合包装(芬吗通) 1/10mg,010808,更年期综合症,12275,3712
181829,草酸艾司西酞普兰片(百洛特) ,010508,抑郁症类,6200,3709
182052,氢溴酸西酞普兰片(一泰纳),010508,抑郁症类,7300,3689
458003,恩替卡韦胶囊(维力青),011002,乙肝用药,8000,3684
5146,氯氮平片(彼迪),010504,精神分裂,1500,3678
170700,黄葵胶囊(苏中),011202,肾炎,4400,3674
60338,转移因子口服溶液(万通),011605,其他用药,3800,3666
1244,咪康唑氯倍他索乳膏(顺峰),010317,皮炎湿疹,350,3650
161399,如意定喘丸(日清),011804,呼吸道感染,2000,3649
164,脑络通胶囊(白云山),010603,中风偏瘫,2300,3646
552518,来氟米特片(关平),010413,类风湿性关节炎,5800,3642
226671,利培酮片(卓夫),010508,抑郁症类,3200,3632
75405,维格列汀片(佳维乐),010702,西药降糖,7840,3625
14326,桂附理中丸(嘉应),011102,补肾壮阳,3500,3607
8021,同仁堂 加味逍遥丸 6g*10袋,010802,月经不调,2600,3595
66188,桉柠蒎肠溶软胶囊(切诺),011801,化痰止咳,6800,3588
804393,盐酸二甲双胍缓释片(麦克罗辛),010702,西药降糖,1200,3587
6486,康复新液(天舒欣),011807,抗结核,4800,3584
8206,益肝灵片(光辉),011003,肝炎用药,1150,3583
735053,四神丸(同仁堂),010205,腹痛腹泻,800,3578
24845,复方氟米松软膏(澳美制药),010317,皮炎湿疹,3600,3577
30103,卡泊三醇搽剂(达力士),010318,银屑病,16500,3577
222379,盐酸贝尼地平片(可力洛),010601,高血压类,7588,3576
434760,乌灵胶囊(佐力) ,011410,安神类药,5200,3574
347,复合维生素B片(恒健),011302,维生素类,850,3573
170746,盐酸文拉法辛缓释胶囊(怡诺思),010508,抑郁症类,20016,3568
181974,盐酸曲唑酮片(美时玉),010508,抑郁症类,6996,3560
